doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
13032,0.0,0.0,,-1065.52,2022-03-16,-1065.52,2022-03-16,1065.52
13046,0.0,3293.8,2022-04-20,0.0,,3293.8,2022-04-20,-3293.8
13047,0.0,2760.0,2022-04-20,0.0,,2760.0,2022-04-20,-2760.0
13064,0.0,0.0,,-9031.0,2022-03-22,-9031.0,2022-03-22,9031.0
13068,0.0,3002.51,2022-04-21,0.0,,3002.51,2022-04-21,-3002.51
13070,0.0,2415.0,2022-04-21,0.0,,2415.0,2022-04-21,-2415.0
13082,-5602.03,-6442.34,2025-07-29,0.0,,-6442.34,2025-07-29,840.31
13087,0.0,4550.05,2022-04-22,0.0,,4550.05,2022-04-22,-4550.05
13092,0.0,2415.0,2022-04-22,0.0,,2415.0,2022-04-22,-2415.0
13114,0.0,0.0,,-9031.51,2022-03-28,-9031.51,2022-03-28,9031.51
13151,0.0,0.0,,-7099.5,2022-03-31,-7099.5,2022-03-31,7099.5
13190,0.0,0.0,,-5883.08,2022-04-04,-5883.08,2022-04-04,5883.08
13224,0.0,0.0,,-5624.7,2022-04-06,-5624.7,2022-04-06,5624.7
13228,0.0,0.0,,-3720.0,2022-04-07,-3720.0,2022-04-07,3720.0
13275,0.0,0.0,,-1690.26,2022-04-08,-1690.26,2022-04-08,1690.26
13281,0.0,0.0,,-8763.02,2022-04-10,-8763.02,2022-04-10,8763.02
13282,0.0,0.0,,-236.98,2022-04-10,-236.98,2022-04-10,236.98
13316,0.0,0.0,,-7725.27,2022-04-12,-7725.27,2022-04-12,7725.27
13320,0.0,3655.28,2022-05-06,0.0,,3655.28,2022-05-06,-3655.28
13327,0.0,2415.0,2022-05-06,0.0,,2415.0,2022-05-06,-2415.0
13343,0.0,2415.0,2022-05-06,0.0,,2415.0,2022-05-06,-2415.0
13347,0.0,0.0,,-5837.05,2022-04-15,-5837.05,2022-04-15,5837.05
13358,0.0,0.0,,-3959.29,2022-04-18,-3959.29,2022-04-18,3959.29
13402,0.0,0.0,,-6374.16,2022-04-20,-6374.16,2022-04-20,6374.16
13410,0.0,3655.28,2022-05-10,0.0,,3655.28,2022-05-10,-3655.28
13420,0.0,0.0,,-2864.18,2022-04-21,-2864.18,2022-04-21,2864.18
13443,0.0,0.0,,-8982.57,2022-04-22,-8982.57,2022-04-22,8982.57
13462,0.0,3655.28,2022-05-12,0.0,,3655.28,2022-05-12,-3655.28
13500,0.0,3655.28,2022-05-15,0.0,,3655.28,2022-05-15,-3655.28
13538,0.0,3622.65,2022-05-17,0.0,,3622.65,2022-05-17,-3622.65
13575,0.0,4242.74,2022-05-19,0.0,,4242.74,2022-05-19,-4242.74
13617,0.0,3328.91,2022-05-20,0.0,,3328.91,2022-05-20,-3328.91
13619,0.0,3328.91,2022-05-22,0.0,,3328.91,2022-05-22,-3328.91
13638,0.0,3949.0,2022-05-23,0.0,,3949.0,2022-05-23,-3949.0
13669,0.0,293.73,2022-05-25,0.0,,293.73,2022-05-25,-293.73
13672,0.0,4210.1,2022-05-25,0.0,,4210.1,2022-05-25,-4210.1
13718,0.0,0.0,,-3178.51,2022-05-10,-3178.51,2022-05-10,3178.51
13724,0.0,3949.0,2022-05-29,0.0,,3949.0,2022-05-29,-3949.0
13750,0.0,0.0,,-3178.51,2022-05-12,-3178.51,2022-05-12,3178.51
13763,0.0,3949.0,2022-05-31,0.0,,3949.0,2022-05-31,-3949.0
13778,0.0,0.0,,-3178.51,2022-05-15,-3178.51,2022-05-15,3178.51
13782,0.0,3949.0,2022-06-01,0.0,,3949.0,2022-06-01,-3949.0
13798,0.0,3949.0,2022-06-02,0.0,,3949.0,2022-06-02,-3949.0
13831,0.0,2741.46,2022-06-03,0.0,,2741.46,2022-06-03,-2741.46
13842,0.0,0.0,,-3178.51,2022-05-17,-3178.51,2022-05-17,3178.51
13847,0.0,4373.3,2022-06-05,0.0,,4373.3,2022-06-05,-4373.3
13875,-20010.0,-20010.0,2025-11-12,-3150.13,2022-05-19,-23160.13,2025-11-12,3150.13
13898,0.0,4242.74,2022-06-07,0.0,,4242.74,2022-06-07,-4242.74
13912,0.0,4242.74,2022-06-08,0.0,,4242.74,2022-06-08,-4242.74
13916,-3689.34,,,,,0.0,,-3689.34
13919,0.0,0.0,,-2894.71,2022-05-22,-2894.71,2022-05-22,2894.71
13944,0.0,0.0,,-2894.71,2022-05-23,-2894.71,2022-05-23,2894.71
13945,0.0,3949.0,2022-06-10,0.0,,3949.0,2022-06-10,-3949.0
13953,0.0,1795.0,2022-06-10,0.0,,1795.0,2022-06-10,-1795.0
13958,0.0,3949.0,2022-06-12,0.0,,3949.0,2022-06-12,-3949.0
13970,-6105.07,-7020.83,2025-11-27,0.0,,-7020.83,2025-11-27,915.76
13971,-10451.65,-11924.52,2025-11-27,0.0,,-11924.52,2025-11-27,1472.87
13985,0.0,0.0,,-255.42,2022-05-25,-255.42,2022-05-25,255.42
13989,0.0,0.0,,-3433.92,2022-05-25,-3433.92,2022-05-25,3433.92
13994,0.0,3949.0,2022-06-14,0.0,,3949.0,2022-06-14,-3949.0
14008,0.0,1566.55,2022-06-15,0.0,,1566.55,2022-06-15,-1566.55
14017,0.0,4242.74,2022-06-16,0.0,,4242.74,2022-06-16,-4242.74
14023,0.0,0.0,,-3660.96,2022-05-29,-3660.96,2022-05-29,3660.96
14055,-22482.5,-18239.76,2025-12-10,0.0,,-18239.76,2025-12-10,-4242.74
14063,0.0,1174.91,2022-06-17,0.0,,1174.91,2022-06-17,-1174.91
14081,0.0,3655.28,2022-06-19,-3433.92,2022-05-31,221.36,2022-06-19,-221.36
14108,0.0,0.0,,-3433.92,2022-06-01,-3433.92,2022-06-01,3433.92
14123,0.0,3949.0,2022-06-21,0.0,,3949.0,2022-06-21,-3949.0
14148,0.0,0.0,,-3433.92,2022-06-02,-3433.92,2022-06-02,3433.92
14161,-10176.05,-11702.46,2025-12-23,0.0,,-11702.46,2025-12-23,1526.41
14163,0.0,0.0,,-2383.88,2022-06-03,-2383.88,2022-06-03,2383.88
14185,0.0,0.0,,-3433.92,2022-06-05,-3433.92,2022-06-05,3433.92
14207,0.0,0.0,,-3802.87,2022-06-07,-3802.87,2022-06-07,3802.87
14223,0.0,4242.74,2022-06-29,0.0,,4242.74,2022-06-29,-4242.74
14224,0.0,587.45,2022-06-29,0.0,,587.45,2022-06-29,-587.45
14244,0.0,0.0,,-3689.4,2022-06-08,-3689.4,2022-06-08,3689.4
14253,0.0,4242.74,2022-06-30,0.0,,4242.74,2022-06-30,-4242.74
14270,0.0,0.0,,-3689.34,2022-06-10,-3689.34,2022-06-10,3689.34
14274,0.0,4242.74,2022-07-01,0.0,,4242.74,2022-07-01,-4242.74
14275,0.0,1174.91,2022-07-01,0.0,,1174.91,2022-07-01,-1174.91
14285,0.0,4242.74,2022-07-03,0.0,,4242.74,2022-07-03,-4242.74
14286,0.0,881.18,2022-07-03,0.0,,881.18,2022-07-03,-881.18
14301,0.0,0.0,,-1560.87,2022-06-10,-1560.87,2022-06-10,1560.87
14303,0.0,0.0,,-3433.92,2022-06-12,-3433.92,2022-06-12,3433.92
14363,-27312.5,-23069.76,2026-02-01,0.0,,-23069.76,2026-02-01,-4242.74
14369,0.0,0.0,,-3433.92,2022-06-14,-3433.92,2022-06-14,3433.92
14392,0.0,0.0,,-1362.22,2022-06-16,-1362.22,2022-06-16,1362.22
14400,0.0,0.0,,-3433.92,2022-06-16,-3433.92,2022-06-16,3433.92
14422,0.0,0.0,,-3589.34,2022-06-17,-3589.34,2022-06-17,3589.34
14425,0.0,4242.74,2022-07-08,0.0,,4242.74,2022-07-08,-4242.74
14426,0.0,1479.19,2022-07-08,0.0,,1479.19,2022-07-08,-1479.19
14433,0.0,0.0,,-1021.66,2022-06-17,-1021.66,2022-06-17,1021.66
14434,0.0,0.0,,-100.0,2022-06-17,-100.0,2022-06-17,100.0
14438,0.0,0.0,,-3689.34,2022-06-19,-3689.34,2022-06-19,3689.34
14465,0.0,4244.27,2022-07-11,0.0,,4244.27,2022-07-11,-4244.27
14480,0.0,0.0,,-3178.51,2022-06-21,-3178.51,2022-06-21,3178.51
14485,0.0,3656.61,2022-07-12,0.0,,3656.61,2022-07-12,-3656.61
14523,0.0,4244.27,2022-07-14,0.0,,4244.27,2022-07-14,-4244.27
14558,0.0,3134.24,2022-07-17,0.0,,3134.24,2022-07-17,-3134.24
14559,-863.74,-993.3,2026-03-08,0.0,,-993.3,2026-03-08,129.56
14623,0.0,3656.61,2022-07-20,0.0,,3656.61,2022-07-20,-3656.61
14624,0.0,587.66,2022-07-20,0.0,,587.66,2022-07-20,-587.66
14628,0.0,0.0,,-3689.34,2022-07-01,-3689.34,2022-07-01,3689.34
14629,0.0,0.0,,-1021.66,2022-07-01,-1021.66,2022-07-01,1021.66
14634,0.0,0.0,,-3433.92,2022-06-29,-3433.92,2022-06-29,3433.92
14635,0.0,0.0,,-3689.34,2022-07-01,-3689.34,2022-07-01,3689.34
14636,0.0,0.0,,-510.83,2022-07-01,-510.83,2022-07-01,510.83
14646,0.0,0.0,,-3689.34,2022-07-03,-3689.34,2022-07-03,3689.34
14647,0.0,0.0,,-766.24,2022-07-03,-766.24,2022-07-03,766.24
14692,0.0,3362.77,2022-07-24,0.0,,3362.77,2022-07-24,-3362.77
14693,0.0,881.5,2022-07-24,0.0,,881.5,2022-07-24,-881.5
14694,0.0,0.0,,-3689.34,2022-07-06,-3689.34,2022-07-06,3689.34
14763,0.0,0.0,,-3690.0,2022-07-11,-3690.0,2022-07-11,3690.0
14790,0.0,4244.27,2022-07-29,0.0,,4244.27,2022-07-29,-4244.27
14791,0.0,1175.33,2022-07-29,0.0,,1175.33,2022-07-29,-1175.33
14792,0.0,3068.94,2022-07-29,0.0,,3068.94,2022-07-29,-3068.94
14807,0.0,4244.27,2022-06-24,0.0,,4244.27,2022-06-24,-4244.27
14818,0.0,3068.94,2022-07-31,0.0,,3068.94,2022-07-31,-3068.94
14819,0.0,0.0,,-4145.9,2022-07-12,-4145.9,2022-07-12,4145.9
14820,0.0,2990.0,2022-07-31,0.0,,2990.0,2022-07-31,-2990.0
14835,0.0,2938.33,2022-08-01,0.0,,2938.33,2022-08-01,-2938.33
14856,0.0,1794.0,2022-08-01,0.0,,1794.0,2022-08-01,-1794.0
14857,0.0,598.0,2022-08-01,0.0,,598.0,2022-08-01,-598.0
14874,0.0,0.0,,-3179.66,2022-07-14,-3179.66,2022-07-14,3179.66
14896,0.0,0.0,,-3690.67,2022-07-17,-3690.67,2022-07-17,3690.67
14918,0.0,3656.61,2022-08-04,0.0,,3656.61,2022-08-04,-3656.61
14942,0.0,3232.17,2022-08-05,0.0,,3232.17,2022-08-05,-3232.17
14967,0.0,7176.0,2022-08-07,0.0,,7176.0,2022-08-07,-7176.0
14968,0.0,5125.77,2022-08-07,0.0,,5125.77,2022-08-07,-5125.77
14983,0.0,0.0,,-511.01,2022-07-20,-511.01,2022-07-20,511.01
14984,0.0,0.0,,-2725.43,2022-07-20,-2725.43,2022-07-20,2725.43
14990,0.0,3036.29,2022-08-09,0.0,,3036.29,2022-08-09,-3036.29
15032,0.0,4536.51,2022-08-11,0.0,,4536.51,2022-08-11,-4536.51
15033,0.0,1566.55,2022-08-11,0.0,,1566.55,2022-08-11,-1566.55
15036,0.0,0.0,,-3179.66,2022-07-24,-3179.66,2022-07-24,3179.66
15037,0.0,0.0,,-766.52,2022-07-24,-766.52,2022-07-24,766.52
15058,0.0,4178.97,2022-08-12,0.0,,4178.97,2022-08-12,-4178.97
15061,0.0,7176.0,2022-08-12,0.0,,7176.0,2022-08-12,-7176.0
15197,0.0,0.0,,-1022.03,2022-07-29,-1022.03,2022-07-29,1022.03
15198,0.0,0.0,,-2924.15,2022-07-29,-2924.15,2022-07-29,2924.15
15208,0.0,0.0,,-2668.64,2022-07-31,-2668.64,2022-07-31,2668.64
15253,0.0,0.0,,-2668.64,2022-08-01,-2668.64,2022-08-01,2668.64
15289,0.0,4244.27,2022-08-23,0.0,,4244.27,2022-08-23,-4244.27
